Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,How satisfied are you with life as a whole these days? (ql4c1ak),How enjoyable is your life as a whole these days? (dzyh760),age,device,gender,employed,education,projectID,startedAt,computerID,creditScore,assignmentID,ethnicityUsa,religiousness,yearOfBirth,participantID,educationScore,ethnicityWhite,politicalViews,computerCountry,filedBankruptcy,householdIncome,socialMediaUse,employmentStatus,femaleAs1MaleAs0,outcomeCreditScore,politicalLiberalness,filedBankruptcyScore,householdIncomeScore,overallPhysicalHealth,outcomeSocialMediaUse,householdIncomeEstimate,outcomeKnowsCreditScore,outcomeReligiousness0To5,outcomeRelationshipLongTerm,mostRecentMentalHealthDiagnosis,outcomeOverallPhysicalHealth,everDiagnosedMentalHealthDisorder,ethnicityNative,outcomeRelationshipNone,"Imagine I gave you a ""REPLAY YESTERDAY"" button. When pressed, this button would cause you to be instantly transported back in time to yesterday morning. You would live the day again exactly the same as you did the first time. You would have no recollection of pressing the button. *Would you press this button to replay yesterday?* (6jkjlca)",ethnicityBlack,"Imagine I gave you a ""SKIP TOMORROW"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do (so nobody else can tell any difference), and remember the day normally, you just don't experience it. Afterwards, you forget you pressed the button. *Would you press this button to skip tomorrow?* (5jpyee3)",buttontext,finished,project_id,assignment_id,participant_id,url,ethnicityOther,ethnicityAsian,ethnicityLatino,outcomeRelationshipJustStarted
9457882,3,2023-01-26 18:50:08,0.27,rl4pf73,0,2,1,26,desktop,female,0,completedMastersDegree,pbbfdbc42,2023/01/26 10:49 AM,956015877a5da798c1a416b9e508c70df5abb999,Fair: 580 - 669,pfeda5034,"Latino, Hispanic or Spanish origin",Somewhat religious,1996,pa0e4d9dc,6,,Liberal,United States,no,"Less than $9,999",about an hour,Unemployed,1,580,1,0,0,A little below average,45,4500,1,2,1,none,-1,0,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pfeda5034,pa0e4d9dc,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9457883,3,2023-01-26 18:50:06,0.18,rl4pf73,0,6,9,27,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:49 AM,f2f0d0e77b74bd187a45f90ae08b7b251d19bc61,Very Good: 740 - 799,pc2a818ad,"White, Caucasian or European",Moderately religious,1995,pa1daf2e9,5,1,Liberal,United States,no,"$60,000 to $84,999",about an hour,Full-time work,1,740,1,0,4,A little below average,45,72500,1,3,,none,-1,0,,,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pc2a818ad,pa1daf2e9,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,1
9457886,3,2023-01-26 18:50:54,0.72,rl4pf73,0,7,7,37,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:48 AM,7cc089125702d1c8634018f5d53ceaaf39f2d4ae,Good: 670 - 739,pbf3bb387,"White, Caucasian or European",Moderately religious,1986,pf4a31385,2,1,Conservative,United States,no,"Less than $9,999",about an hour,Full-time work,1,670,-1,0,0,A little above average,45,4500,1,3,1,none,1,0,,,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pbf3bb387,pf4a31385,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457889,3,2023-01-26 18:51:06,0.53,rl4pf73,0,6,5,38,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:46 AM,1261102daa22deea71c8f6f2663de55d6744e5ef,I do not remember my FICO credit score,pa654b436,"Black, African or African Descent",Not at all religious,1984,pacea8308,2,,Liberal,United States,no,"$60,000 to $84,999",about an hour,Own business / Self-employed,1,300,1,0,4,Average,45,72500,0,0,1,none,0,0,,,No,1,Yes,Click to finish and give feedback,1,pbbfdbc42,pa654b436,pacea8308,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457894,3,2023-01-26 18:52:02,0.17,rl4pf73,0,6,6,36,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:51 AM,eeb363a3e9b8bcdb5fbd4724d6aa0ee6274a11c6,Very Good: 740 - 799,pc2f4bd37,"White, Caucasian or European",Not at all religious,1986,p4037355a,5,1,Liberal,United States,no,"$60,000 to $84,999",about an hour,Full-time work,0,740,1,0,4,A little above average,45,72500,1,0,1,none,1,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc2f4bd37,p4037355a,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457896,3,2023-01-26 18:52:42,0.52,rl4pf73,0,5,5,30,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:52 AM,f1b83504b5a57642829098b656bdbe1f0b6620f8,Very Poor: 300 - 579,pa1125cb9,"White, Caucasian or European",Not at all religious,1992,pb0ce74e9,2,1,Liberal,United States,no,"$25,000 to $39,999",less than 30 minutes,Full-time work,0,300,1,0,2,A little above average,15,32500,1,0,,none,1,0,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pa1125cb9,pb0ce74e9,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457897,3,2023-01-26 18:52:48,0.35,rl4pf73,0,3,3,28,desktop,male,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 10:52 AM,9e502deb343b2bf619891fba54c9eb0ef2b87c68,Good: 670 - 739,pb349d2d0,"Latino, Hispanic or Spanish origin",Moderately religious,1994,p66d88ed2,4,,Liberal,United States,no,"$40,000 to $59,999",about an hour,Full-time work,0,670,1,0,3,A little above average,45,50000,1,3,,none,1,0,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pb349d2d0,p66d88ed2,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9457900,3,2023-01-26 18:52:54,0.45,rl4pf73,0,3,3,52,desktop,male,0,completedMastersDegree,pbbfdbc42,2023/01/26 10:52 AM,bc7b2395bf2616bbc88aa37dbfb3a2a838a16ca1,Exceptional: 800 - 850,pac0be91b,"White, Caucasian or European",Not at all religious,1970,pa04c0f60,6,1,Liberal,United States,no,"$150,000 to $199,999",less than 30 minutes,Homemaker,0,800,1,0,7,A little above average,15,175000,1,0,1,anxiety,1,1,,,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pac0be91b,pa04c0f60,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457903,3,2023-01-26 18:53:27,0.45,rl4pf73,0,3,5,25,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:53 AM,7f252fe7af9e6e926f2bf1a192d8a9ed7e77d10b,Fair: 580 - 669,pfac2b85c,"White, Caucasian or European",Not at all religious,1997,p786f60df,2,1,Liberal,United States,no,"$40,000 to $59,999",about an hour,Full-time work,1,580,1,0,3,Average,45,50000,1,0,1,anxiety,0,1,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pfac2b85c,p786f60df,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457904,3,2023-01-26 18:53:17,0.43,rl4pf73,0,6,7,35,desktop,male,0,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:52 AM,19d07a99fc1e730427a9e8fb8dd074c768b2c6a2,Exceptional: 800 - 850,pdb996f9c,"Asian (e.g. Chinese, Indian)",Not at all religious,1988,pca8e06f6,2,,Moderate,United States,no,"$25,000 to $39,999",about an hour,Unemployed,0,800,0,0,2,Above average,45,32500,1,0,,depression,2,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pdb996f9c,pca8e06f6,https://app.positly.com/#/f?task_id=pbbfdbc42,,1,,
9457906,3,2023-01-26 18:53:37,0.5,rl4pf73,0,9,9,28,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:52 AM,26617f250310ab6fae8715a704c3785802d481e0,Good: 670 - 739,pa0e4d7ac,"White, Caucasian or European",Very religious,1994,pca5a5780,5,1,Very liberal,United States,no,"$40,000 to $59,999",about an hour,Full-time work,1,670,2,0,3,Above average,45,50000,1,4,1,anxiety,2,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pa0e4d7ac,pca5a5780,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457907,3,2023-01-26 18:53:50,0.72,rl4pf73,0,7,4,38,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:53 AM,4e43c037b18f1c6989ea7b269ea4ca28b756dd12,Exceptional: 800 - 850,pd06ee91e,"Asian (e.g. Chinese, Indian)",Moderately religious,1984,pb507daa4,5,,Conservative,United States,no,"$150,000 to $199,999",less than 30 minutes,Full-time work,1,800,-1,0,7,Average,15,175000,1,3,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pd06ee91e,pb507daa4,https://app.positly.com/#/f?task_id=pbbfdbc42,,1,,
9457919,3,2023-01-26 18:55:13,0.48,rl4pf73,0,8,9,37,desktop,female,1,completedMastersDegree,pbbfdbc42,2023/01/26 10:56 AM,ca10fc03dd1fa345d92a239074357adedb28a63e,Very Good: 740 - 799,pcbd283ec,"White, Caucasian or European",Not at all religious,1986,p01ac6838,6,1,Liberal,United States,no,"$60,000 to $84,999",less than 30 minutes,Full-time work,1,740,1,0,4,A little below average,15,72500,1,0,1,depression,-1,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pcbd283ec,p01ac6838,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457924,3,2023-01-26 18:57:48,0.62,rl4pf73,0,8,9,33,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:54 AM,cf3ccd842d94709de0080de4a42a91f36f5f1619,Good: 670 - 739,pdf5102a0,"White, Caucasian or European",Not at all religious,1990,pd0e350ff,5,1,Very conservative,United States,no,"$10,000 to $24,999",more than 3 hours,Full-time work,0,670,-2,0,1,Far above average,180,17500,1,0,1,none,3,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pdf5102a0,pd0e350ff,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457929,3,2023-01-26 18:58:54,0.3,rl4pf73,0,8,9,37,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:58 AM,d3903bec9821a10d2a8c3d6ec79a54a0007469c4,Exceptional: 800 - 850,pb9c3343e,"Latino, Hispanic or Spanish origin",Extremely religious,1985,p0f85066d,2,,Conservative,United States,no,"$25,000 to $39,999",less than 30 minutes,Full-time work,0,800,-1,0,2,Above average,15,32500,1,5,,none,2,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb9c3343e,p0f85066d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9457932,3,2023-01-26 19:00:40,0.53,rl4pf73,0,6,7,25,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:00 AM,b11d868b27664948059afbf639119c33274f9467,Good: 670 - 739,pd5e9d2f7,"White, Caucasian or European",Not at all religious,1997,p966cf14e,2,1,Liberal,United States,no,"$40,000 to $59,999",about an hour,Part-time work,0,670,1,0,3,A little below average,45,50000,1,0,,none,-1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pd5e9d2f7,p966cf14e,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457934,3,2023-01-26 19:00:48,0.58,rl4pf73,0,7,7,40,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:00 AM,caf976b10cdcf85d04e3c412dc8b8ca6afd4d2f8,Very Good: 740 - 799,pb2731c34,"White, Caucasian or European",Not at all religious,1982,p85ede05b,2,1,Moderate,United States,no,"$40,000 to $59,999",less than 30 minutes,Full-time work,0,740,0,0,3,Average,15,50000,1,0,1,none,0,0,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pb2731c34,p85ede05b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457935,3,2023-01-26 19:00:49,0.98,rl4pf73,0,6,5,57,desktop,male,0,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:00 AM,1769ca657d2f85a886c21ad7f33ec783e9b5e5b4,Very Poor: 300 - 579,pfc1e5b6a,"White, Caucasian or European",Not at all religious,1966,pb12a4d63,5,1,Liberal,United States,no,"$40,000 to $59,999",up to 3 hours,Unemployed,0,300,1,0,3,Below average,90,50000,1,0,,depression,-2,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pfc1e5b6a,pb12a4d63,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457936,3,2023-01-26 19:01:19,0.25,rl4pf73,0,8,8,37,desktop,female,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 11:01 AM,a53b1578ece019e4969ed9492bbda1531cba128c,Good: 670 - 739,pf40d893e,"White, Caucasian or European",Very religious,1985,pcbb604a8,4,1,Conservative,United States,no,"$60,000 to $84,999",less than 30 minutes,Full-time work,1,670,-1,0,4,Above average,15,72500,1,4,,bipolar,2,1,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pf40d893e,pcbb604a8,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,1
9457943,3,2023-01-26 19:02:00,0.43,rl4pf73,0,7,6,33,desktop,female,1,completedMastersDegree,pbbfdbc42,2023/01/26 11:01 AM,a1d97dfdee7f6e74c5d5cc7ae218cf4e9507b658,Exceptional: 800 - 850,pd109c6a7,"White, Caucasian or European",Not at all religious,1990,p9ebc85a9,6,1,Liberal,United States,no,"$115,000 to $149,999",about an hour,Full-time work,1,800,1,0,6,Above average,45,132500,1,0,1,none,2,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pd109c6a7,p9ebc85a9,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457948,3,2023-01-26 19:02:59,0.57,rl4pf73,0,4,4,40,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:02 AM,2b9b45bace2d35b75e9d4667d096c77c24eb0e6e,Very Poor: 300 - 579,pd3c953b0,"White, Caucasian or European",Slightly religious,1982,pda9edb98,2,1,Liberal,United States,no,"$10,000 to $24,999",about an hour,Full-time work,0,300,1,0,1,A little above average,45,17500,1,1,,none,1,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pd3c953b0,pda9edb98,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457959,3,2023-01-26 19:05:09,0.7,rl4pf73,0,9,9,40,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:04 AM,57260886e006988b186c17b0e5199de44a872970,I do not remember my FICO credit score,pc9d7bcb2,"White, Caucasian or European",Extremely religious,1982,peef02aa4,5,1,Very conservative,United States,no,"$85,000 to $114,999",more than 3 hours,Full-time work,0,300,-2,0,5,Above average,180,100000,0,5,1,none,2,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc9d7bcb2,peef02aa4,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457960,3,2023-01-26 19:05:50,0.6,rl4pf73,0,10,10,43,desktop,male,0,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:05 AM,d14bfe237ef0fae554f2f75bf4c25a82a6a8dd60,Very Good: 740 - 799,pc730f627,"White, Caucasian or European",Extremely religious,1980,pb6965977,2,1,Very conservative,United States,no,"Less than $9,999",less than 30 minutes,Unemployed,0,740,-2,0,0,Above average,15,4500,1,5,,none,2,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc730f627,pb6965977,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457967,3,2023-01-26 19:07:23,0.32,rl4pf73,0,0,0,35,desktop,male,0,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:07 AM,c30d3b70f69de7e36d215d455d4d55ca4943e0f9,Good: 670 - 739,pd1739464,"White, Caucasian or European",Not at all religious,1987,pc3abf7b5,5,1,Very liberal,United States,no,"$10,000 to $24,999",more than 3 hours,Unemployed,0,670,2,0,1,Below average,180,17500,1,0,,depression,-2,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pd1739464,pc3abf7b5,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457968,3,2023-01-26 19:07:17,0.48,rl4pf73,0,1,1,50,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:07 AM,3918d4dbbacb4b22428720246e25e8aabb7b4a45,I do not remember my FICO credit score,pfeeab214,"White, Caucasian or European",Not at all religious,1972,p04341983,2,1,Moderate,United States,no,"$10,000 to $24,999",less than 30 minutes,Other type of paid work,0,300,0,0,1,Far below average,15,17500,0,0,,none,-3,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pfeeab214,p04341983,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457969,3,2023-01-26 19:07:44,0.42,rl4pf73,0,9,7,41,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:07 AM,faec161e79c965585be00f62b0f68684e6e8341b,Good: 670 - 739,pd1d216a7,American Indian or Alaska Native,Not at all religious,1981,pd37bee9b,2,,Conservative,United States,no,"$25,000 to $39,999",about an hour,Full-time work,1,670,-1,0,2,Above average,45,32500,1,0,1,bipolar,2,1,1,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pd1d216a7,pd37bee9b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457971,3,2023-01-26 19:07:51,0.83,rl4pf73,0,8,8,37,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:07 AM,505829a162c5dc37b6adfa09b5fcb4ae8c17745b,Exceptional: 800 - 850,pb26abbcb,"White, Caucasian or European",Extremely religious,1985,p3faeb352,5,1,Conservative,United States,no,"$60,000 to $84,999",about an hour,Full-time work,0,800,-1,0,4,Average,45,72500,1,5,,none,0,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb26abbcb,p3faeb352,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457972,3,2023-01-26 19:07:59,0.4,rl4pf73,0,6,7,25,desktop,male,1,completedProfessionalDegree,pbbfdbc42,2023/01/26 11:07 AM,8fcee35e9c7a93baeb2a9b15ca2c818dcb5637b2,Very Good: 740 - 799,pcd989efd,"White, Caucasian or European",Slightly religious,1997,pf8abdae1,7,1,Moderate,United States,no,"$85,000 to $114,999",about an hour,Full-time work,0,740,0,0,5,A little below average,45,100000,1,1,,none,-1,0,,1,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pcd989efd,pf8abdae1,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457973,3,2023-01-26 19:07:59,0.87,rl4pf73,0,3,5,62,desktop,female,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 11:07 AM,e4af8da25a074ca15441ac42a7bab66f1fc6cb9c,Very Good: 740 - 799,pdd885cbf,"White, Caucasian or European",Not at all religious,1961,p4ec17388,4,1,Very liberal,United States,no,"$40,000 to $59,999",less than 30 minutes,Own business / Self-employed,1,740,2,0,3,A little above average,15,50000,1,0,1,none,1,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pdd885cbf,p4ec17388,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457974,3,2023-01-26 19:08:08,0.5,rl4pf73,0,8,6,68,desktop,male,1,completedMastersDegree,pbbfdbc42,2023/01/26 11:07 AM,d14809718bf5581a0c6f1155c8d855fcc89e67d8,Good: 670 - 739,pa6fa62cf,"White, Caucasian or European",Very religious,1954,pbf0b26b9,6,1,Very conservative,United States,yes,"$40,000 to $59,999",less than 30 minutes,Part-time work,0,670,-2,1,3,A little below average,15,50000,1,4,1,none,-1,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pa6fa62cf,pbf0b26b9,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457980,3,2023-01-26 19:08:29,0.47,rl4pf73,0,8,7,38,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:08 AM,12b8b6dda6344c36c07b645cbfb1bf9b44cbff46,Very Good: 740 - 799,pb2c7eb6d,"White, Caucasian or European",Moderately religious,1984,pddd2b88d,5,1,Liberal,United States,no,"$150,000 to $199,999",less than 30 minutes,Full-time work,0,740,1,0,7,A little above average,15,175000,1,3,1,anxiety,1,1,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb2c7eb6d,pddd2b88d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457981,3,2023-01-26 19:08:42,0.78,rl4pf73,0,8,9,47,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:07 AM,56fe8442e757e360eff4862cb6ada24a4a7e916a,Very Good: 740 - 799,pb537bb76,"White, Caucasian or European",Moderately religious,1975,p69626201,2,1,Liberal,United States,no,"$25,000 to $39,999",about an hour,Part-time work,0,740,1,0,2,Above average,45,32500,1,3,,psychotic,2,1,,1,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pb537bb76,p69626201,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457990,3,2023-01-26 19:10:33,0.53,rl4pf73,0,7,9,34,desktop,female,1,completedAssociateDegreeOnly,pbbfdbc42,2023/01/26 11:07 AM,c3b76c9474e4092f0b36c47f031b9a560ebf257c,Good: 670 - 739,pb8f8d54f,"White, Caucasian or European",Somewhat religious,1989,pa412de19,4,1,Conservative,United States,no,"$85,000 to $114,999",about an hour,Full-time work,1,670,-1,0,5,Average,45,100000,1,2,1,anxiety,0,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pb8f8d54f,pa412de19,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457993,3,2023-01-26 19:10:52,0.37,rl4pf73,0,3,5,35,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:08 AM,f818561beb1b2586f7bb712e6ded9eb2ff9122b1,Good: 670 - 739,pb72b121c,"Latino, Hispanic or Spanish origin",Slightly religious,1987,pdd6da587,2,,Moderate,United States,no,"$60,000 to $84,999",about an hour,Full-time work,1,670,0,0,4,Average,45,72500,1,1,1,none,0,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb72b121c,pdd6da587,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9458001,3,2023-01-26 19:11:28,0.92,rl4pf73,0,9,9,34,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:10 AM,c76f260bb0853fba05241f600d46e1c52db8f3f4,Fair: 580 - 669,pc478405a,"White, Caucasian or European",Moderately religious,1989,p755b8b0e,2,1,Liberal,United States,no,"$25,000 to $39,999",less than 30 minutes,Full-time work,0,580,1,0,2,Average,15,32500,1,3,1,anxiety,0,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pc478405a,p755b8b0e,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458003,3,2023-01-26 19:11:35,0.68,rl4pf73,0,6,6,46,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:10 AM,4532dc28096983d40352e6b4b55d70ef41e6500d,Good: 670 - 739,pa4c1002b,"Black, African or African Descent",Moderately religious,1976,p6167da72,5,,Liberal,United States,no,"$60,000 to $84,999",less than 30 minutes,Full-time work,0,670,1,0,4,Average,15,72500,1,3,1,none,0,0,,,No,1,Yes,Click to finish and give feedback,1,pbbfdbc42,pa4c1002b,p6167da72,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458004,3,2023-01-26 19:11:38,0.23,rl4pf73,0,9,9,25,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:11 AM,328058af8daa9539c4a6d1bec10c56d45db27741,Good: 670 - 739,pb8d9359c,"White, Caucasian or European",Somewhat religious,1997,p4326aa7e,5,1,Liberal,United States,no,"$60,000 to $84,999",more than 3 hours,Full-time work,0,670,1,0,4,Above average,180,72500,1,2,1,none,2,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pb8d9359c,p4326aa7e,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458006,3,2023-01-26 19:11:45,5.58,rl4pf73,0,8,9,39,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:08 AM,d770de46b2c842370e0b4634f027fc44e17234e3,Very Good: 740 - 799,pa08165a6,"Latino, Hispanic or Spanish origin",Very religious,1983,p37b98bbe,5,,Moderate,United States,no,"$25,000 to $39,999",about an hour,Full-time work,1,740,0,0,2,Average,45,32500,1,4,1,none,0,0,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pa08165a6,p37b98bbe,https://app.positly.com/#/f?task_id=pbbfdbc42,,,1,
9458010,3,2023-01-26 19:11:56,0.38,rl4pf73,0,8,8,53,desktop,male,1,completedMastersDegree,pbbfdbc42,2023/01/26 11:11 AM,bfd4d6314c010c468e3b7e0d3a93b40f80c22e1c,Very Good: 740 - 799,pb53454e4,"White, Caucasian or European",Not at all religious,1970,pcda382ba,6,1,Liberal,United States,yes,"$115,000 to $149,999",less than 30 minutes,Full-time work,0,740,1,1,6,Above average,15,132500,1,0,1,none,2,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pb53454e4,pcda382ba,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458011,3,2023-01-26 19:11:59,0.42,rl4pf73,0,7,7,38,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 11:11 AM,d4c3a6b4b35c717a65420cb645513fc42ce71232,Very Good: 740 - 799,pc839e502,"White, Caucasian or European",Not at all religious,1984,p839f9d20,5,1,Very liberal,United States,no,"$115,000 to $149,999",up to 3 hours,Full-time work,0,740,2,0,6,Average,90,132500,1,0,1,depression,0,1,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pc839e502,p839f9d20,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458015,3,2023-01-26 19:12:44,0.75,rl4pf73,0,8,8,55,desktop,female,0,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 11:11 AM,161569caeef2817660bc77234131dd275184cb33,Very Poor: 300 - 579,paea8bc7d,"White, Caucasian or European",Moderately religious,1968,p26540bf8,3,1,Moderate,United States,no,"$10,000 to $24,999",about an hour,Retired,1,300,0,0,1,Average,45,17500,1,3,1,depression,0,1,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,paea8bc7d,p26540bf8,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458020,3,2023-01-26 19:13:09,0.3,rl4pf73,0,9,9,39,desktop,male,1,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 11:12 AM,56c8ab55f7501d03f4afbafdd327adb413c0002e,Good: 670 - 739,pcc4c4d7a,"White, Caucasian or European",Moderately religious,1983,p5f693096,3,1,Conservative,United States,no,"$200,000 or more",less than 30 minutes,Full-time work,0,670,-1,0,8,Far above average,15,225000,1,3,,anxiety,3,1,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pcc4c4d7a,p5f693096,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9458021,3,2023-01-26 19:13:15,0.23,rl4pf73,0,6,6,31,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 11:12 AM,0bf67f3a94252061cbcb5ac3f2aac72e2ff77203,I do not remember my FICO credit score,pb6d09e05,"White, Caucasian or European",Not at all religious,1991,p23e7b06b,2,1,Liberal,United States,no,"$10,000 to $24,999",about an hour,Own business / Self-employed,0,300,1,0,1,Average,45,17500,0,0,,none,0,0,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pb6d09e05,p23e7b06b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
